Service;Agent;Time;Medium
Laptop Support;giorgia;120;Phone
Desktop Support::Personalized (user) setup;giorgia;241;Phone
Desktop Support::Personalized (user) setup;giorgia;181;Phone
IS-Accounts::New account;giorgia;60;Email
IS-Multimedia Equipment::Usage request - Multimedia equipment;giorgia;20;Phone
IS-Multimedia Equipment::Usage request - Multimedia equipment;giorgia;30;Email
IS-Accounts::New account;giorgia;30;Email
Laptop Support::Usage request;giorgia;30;Phone
Laptop Support::Power Supply malfunction;giorgia;31;OnSiteVisit
Laptop Support::Usage request;giorgia;61;Phone
Laptop Support;giorgia;181;Email
IS-Accounts::Usage request;giorgia;30;Email
Non-strategic Software;giorgia;60;Email
Non-strategic Software;giorgia;15;Phone
IS-Electronic Storage;giorgia;30;Phone
IS-Accounts::Usage request;giorgia;40;Email
IS-Incident Management System::Usage request;petros;3;Email
Specialized software::New installation;petros;16;Email
Laptop Support;petros;10;Email
IS-Strategic Software::Usage request-Ms Office 365;petros;45;Email
IS-Accounts::Performance degradation;petros;401;Email
AS-Fixed Assets Management System;giorgia;40;SelfAssigned
AS-Application Server Management;giorgia;45;SelfAssigned
Non-strategic Software;giorgia;30;Phone
IS-Accounts::Locked account;giorgia;30;Email
IS-Network Access;giorgia;30;Email
IS-Multimedia Equipment::Usage request - Multimedia equipment;giorgia;30;Phone
AS-Budget management;giorgia;31;SelfAssigned
IS-Accounts::New account;giorgia;16;Email
IS-Incident Management System::Usage request;giorgia;121;Email
IS-Accounts::Usage request;giorgia;35;OnSiteVisit
Tender management::Acceptance;giorgia;60;Email
IS-e-Mail::Mailbox malfunction;giorgia;5;Email
IS-Wireless Network::Usage request;petros;10;Email
IS-e-Mail::Mail Office365;petros;90;Email
Laptop Support::Usage request;giorgia;31;Email
Specialized software::Usage request;giorgia;180;Email
Non-strategic Software;giorgia;121;Phone
Microsoft Software Support::Usage request - Ms Office;petros;0;Email
Specialized software::Usage request;petros;12;Email
Specialized Hardware::Malfunction;petros;63;Email
Specialized software::New installation;petros;61;Email
IS-Peripheral Support::Usage request;petros;49;Email
IS-Wireless Network::Usage request;petros;13;Email
Laptop Support::Usage request;petros;18;Email
Desktop Support::Usage request;petros;31;Email
Microsoft Software Support::New sw version - Ms Office;petros;241;Email
IS-Multimedia Equipment::Usage request - Multimedia equipment;giorgia;241;Email
IS-Central Labs::Usage request;petros;34;Email
Specialized software::Usage request;petros;19;Email
IS-Identity Management - IDM::Account performance degradation;giorgia;25;Email
Desktop Support;giorgia;241;Email
IS-e-Mail::Usage request;giorgia;162;Application
IS-Peripheral Support::Usage request;giorgia;81;SelfAssigned
Specialized software::Usage request;giorgia;136;Email
IS-Network Access::Performance degradation - Local Network access;giorgia;16;Email
IS-Printer support::Usage request;petros;21;Email
IS-Printer support;petros;15;Email
IS-Data Security and Protection::Phishing;petros;6;Email
Obsolete equipment Management;petros;31;Email
Tender management::Delivery;petros;31;Email
Tender management::Orders;giorgia;30;Email
Laptop Support::New Laptop;giorgia;91;Email
IS-e-Mail::Usage request;giorgia;30;Email
IS-Peripheral Support::Usage request;giorgia;15;Email
Macintosh::Personalized (user) setup iOs;giorgia;30;Email
Specialized software::Usage request;giorgia;30;Email
IS-Peripheral Support::Usage request;giorgia;60;Email
Desktop Support::Personalized (user) setup;giorgia;30;Email
IS-Identity Management - IDM::Account performance degradation;giorgia;20;Phone
IS-Strategic Software::Usage request-Ms Office 365;petros;10;Email
Desktop Support::Usage request;kallis;30;Email
Specialized software::Usage request;petros;10;Email
IS-Wireless Network::Usage request;petros;45;Email
IS-Peripheral Support;kallis;30;Email
Desktop Support::Usage request;petros;300;OnSiteVisit
Desktop Support;petros;62;Email
IS-e-Mail::Usage request;petros;301;Email
Desktop Support;giorgia;32;Phone
IS-Incident Management System::Usage request;giorgia;30;Email
Laptop Support::Usage request;giorgia;120;Email
Desktop Support::Performance degradation;giorgia;64;Email
Desktop Support::Performance degradation;kallis;121;Email
